id,date,tlt,ud,pmt,wp,a,p,q,oee,rate,wf,uf,rework,give,line,unit,std,chk,Remark,waste_film_remark,waste_pellet_remark
35989,2023-05-27,10.42,1.75,9600,0,83.21,92.27,100,76.78,27.68,2,641,0,25.115,C,PPE,30,1,"16.00-16.45 hood มีปัญหาขึ้น control hoist brake ขึ้นบ่อยมาก สาเหตุ morter ร้อน ทำการ reset แล้วเดินต่อ
17.00-18.00 Alarm on the profinet bus สาเหตุ Clamp Jaw ปล่อยถุงตอน FILL เม็ด ทำการปรับแก้ไข proximity Clamp ใหม่",,
35990,2023-05-27,10.33,0.83,10396,0,91.97,91.19,100,83.87,27.36,1.8,728,0,25.115,D,PPE,30,1,15.00-15.50 Ink Jet ยิงขาดช่วงล่างของตัวหนังสือ ทำการล้างหัว Ink Jet ใหม่,,
35991,2023-05-28,12.58,0,13320,0,100,88.24,100,88.24,26.47,1.3,1255,0,25.115,C,PP12,30,1,,,
35992,2023-05-28,3.92,0,6399,0,100,90.69,100,90.69,40.81,0.4,630,0,25.118,A,PP12,45,1,,,
35993,2023-05-28,4.58,0,5120,0.02,100,93.16,99.98,93.14,27.95,0.9,542,0,25.116,A,PP3,30,1,,,ปากเปิด
35994,2023-05-28,4.67,0,5151,0,100,91.92,100,91.92,27.57,0.6,505,0,25.116,B,PP3,30,1,,,
35995,2023-05-28,10.33,0,11485,0,100,92.65,100,92.65,27.8,1,763,0,25.118,C,PPE,30,1,,,
35996,2023-05-28,10.42,0,11559,0,100,92.44,100,92.44,27.73,0,763,0,25.118,D,PPE,30,1,,,
35997,2023-05-29,10.92,0,11571,0.01,100,88.3,100,88.3,26.49,1.4,1127,0,25.115,C,PP12,30,1,,,
35998,2023-05-29,4.33,0,6830,0,100,87.63,100,87.63,39.43,1.6,676,0,25.119,A,PP12,45,1,,,
35999,2023-05-29,6.83,0,7680,0,100,93.7,100,93.7,28.11,0.6,772,0,25.115,A,PP3,30,1,,,
36000,2023-05-29,6.75,0,7714,0,100,95.23,100,95.23,28.57,0,772,0,25.115,B,PP3,30,1,,,
36001,2023-05-29,9.25,0,10160,0,100,91.53,100,91.53,27.46,0.8,1019,0,25.117,C,PPE,30,1,,,
36002,2023-05-29,10.17,0,11153,0,100,91.39,100,91.39,27.42,0,1075,0,25.117,D,PPE,30,1,,,
36003,2023-05-30,10.83,0,11845,0,100,91.14,100,91.14,27.34,1.3,1137,0,25.115,C,PP12,30,1,,,
36004,2023-05-30,10.58,5,8897,0,52.74,88.58,100,46.72,39.86,1.9,876,0,25.118,A,PP12,45,1,,,
36979,2023-05-30,0.45,0,520,0,100,96.3,100,96.3,28.89,0,51,0,25.115,A,PP3,30,1,,,
36980,2023-05-30,0.45,0,495,0,100,91.67,100,91.67,27.5,0,50,0,25.115,B,PP3,30,1,,,
36981,2023-05-30,13.67,0,14812,0,100,90.3,100,90.3,27.09,0,1436,0,25.11,C,PPE,30,1,,,
36982,2023-05-30,11.92,2.17,10240,0,81.8,87.52,100,71.59,26.26,0,983,0,25.115,D,PPE,30,1,18.30-21.00  Sucker เปิดปากถุงหลายครั้ง ตรวจสอบพบ ยางกด Film ที่ Cutter สึกหรอทำให้ ปากถุงไม่เสมอกัน Sucker ดูด 3 ครั้ง // ทำการถอด และหาอะไหล่เปลี่ยน,,
36983,2023-05-31,9.08,0,9626,0,100,88.34,100,88.34,26.5,1.2,940,0,25.115,C,PP12,30,1,,,
36984,2023-05-31,6.58,0,10460,0,100,88.31,100,88.31,39.74,2,976,0,25.119,A,PP12,45,1,,,
36985,2023-05-31,13.33,1.83,12320,0,86.27,89.28,100,77.02,26.78,1.31,1228,0,25.116,A,PP3,30,0,"9:30 -11.20 film ติดคัตเตอร์บ่อยมาก / หาสาเหตุพบว่าลวด Seal ใหม้มีคราบสีขาวเกาะเป็นตะกอน
และมี film ใหม้ติดกับลวด Seal จึงทำไห้เวลา Seal Bottom (film จะไหม้ติดกับ Teflon)
แล้วทำไห้คัตเตอร์ตัด film ไม่ขาด / ทำการขูดคราบสีขาวบริเวณลวดซีลออกไห้หมด
และเปลี่ยน Teflin ใหม่ / Bag next",,
36986,2023-05-31,13.33,0,14375,0,100,89.87,100,89.87,26.96,0.8,1435,0,25.116,B,PP3,30,0,,,
